time,low,high,open,close,volume,difficulty,sentiment_medio,google_trend,greed_and_fear
2022-10-21,18659.0,19254.52,19043.66,19166.45,24206.36088454,35610794164372.0,0.1612122053600608,21.0,23
2022-10-20,18905.0,19349.04,19123.77,19042.48,28405.7559743,35610794164372.0,0.0495575595575595,21.0,23
2022-10-19,19062.1,19361.0,19328.75,19124.18,22284.13292808,35610794164372.0,0.0983730158730158,20.0,23
2022-10-18,19091.77,19702.73,19550.39,19328.76,27645.59742478,35610794164372.0,0.0797418389744338,21.0,22
2022-10-17,19154.72,19679.46,19261.62,19550.4,24137.12482696,35610794164372.0,0.1001098886524306,21.0,20
2022-10-16,19065.23,19425.49,19070.62,19264.44,8310.92834083,35610794164372.0,0.1242090001048333,19.0,24
2022-10-15,18983.0,19229.12,19179.15,19070.24,9062.82835275,35610794164372.0,0.0577995392521709,18.0,24
2022-10-14,19076.83,19954.14,19375.55,19178.0,46208.33260444,35610794164372.0,0.0705320522410155,23.0,24
2022-10-13,18131.0,19509.23,19153.97,19378.65,49160.49651762,35610794164372.0,0.0531084252729955,25.0,20
2022-10-12,18971.51,19235.26,19058.42,19155.92,24862.65344825,35610794164372.0,0.0454858520409276,21.0,20
2022-10-11,18855.19,19265.69,19130.8,19058.11,36248.01909763,35610794164372.0,0.0302010715206885,23.0,24
2022-10-10,19028.08,19528.04,19442.7,19132.83,26596.56843638,33738662001569.633,0.0388563138051284,22.0,22
2022-10-09,19321.0,19563.28,19421.49,19443.47,12537.63788265,31360548173145.0,0.0953765276828434,18.0,22
2022-10-08,19250.0,19628.78,19531.68,19419.39,9745.2545363,31360548173145.0,0.049535258601048,19.0,24
2022-10-07,19325.0,20065.26,19963.75,19533.05,34938.97272677,31360548173145.0,0.098038595653692,22.0,23
2022-10-06,19855.19,20455.79,20162.15,19965.64,44044.43606305,31360548173145.0,0.0484095408688683,21.0,26
2022-10-05,19750.0,20371.15,20345.27,20161.62,33542.20736149,31360548173145.0,0.0469614462511554,23.0,25
2022-10-04,19495.32,20479.43,19632.43,20345.19,32685.41637125,31360548173145.0,0.051333394905605,24.0,20
2022-10-03,18958.29,19717.67,19059.1,19633.46,28571.64018677,31360548173145.0,0.0534231267842958,23.0,24
2022-10-02,18923.81,19398.94,19315.26,19059.17,12951.42404465,31360548173145.0,0.0680630483540596,19.0,24
2022-10-01,19160.0,19486.43,19423.57,19315.27,7337.45595566,31360548173145.0,0.1667988413813046,20.0,20
2022-09-30,19154.38,20182.72,19595.59,19426.11,34243.66392923,31360548173145.0,0.0519934044802041,24.0,21
2022-09-29,18845.3,19646.66,19412.37,19595.57,34783.53737085,31360548173145.0,0.0622205994654448,25.0,22
2022-09-28,18487.0,19773.67,19077.56,19412.07,43710.30467197,31419898493798.69,0.0419119097499488,25.0,20
2022-09-27,18821.55,20383.15,19226.94,19077.57,51860.03004114,32045359565303.0,0.0910231640053067,27.0,20
